a [a:]
eskar [‘ɛskar]
eskarek [ɛs’karɛk]
eskarogeth [ˌɛskar’ɔgɛθ]
esyans [‘ɛzjans]
eskerensa [ˌɛskɛ’rɛnza]
eskis [‘ɛskɪs]
eskorra [ɛs’kɔr:a]
eskorrans [ɛs’kɔr:ans]
etegves [ɛ’tɛgvɛs]
etek [‘ɛtɛk]
esoterek [ˌɛzɔ’tɛrɛk]
eternal [ɛ’tɛrnal]
esperthi [ɛs’pɛrθi]
esporth [‘ɛspɔrθ]
essensek [ɛ’sɛnzɛk]
-eth [-ɛθ]
Est [ɛ:st]
est [ɛ:st]
estem [ɛs’tɛ:m]
ethegel [ɛ’θɛgɛl]
ethek [‘ɛθɛk]
ethen [‘ɛθɛn]
euver [‘œvɛr]
euvergryjyk [ˌœvɛr’grɪʤɪk]
ethenna [ɛ’θɛn:a]
ethnek [‘ɛθnɛk]
ev [ɛ:v]
eva [‘ɛva]
ethol [‘ɛθɔl]
evor [‘ɛvɔr]
etholans [ɛ’θɔlans]
evredh [‘ɛvrɛð]
etholer [ɛ’θɔlɛr]
evredhek [ɛv’rɛðɛk]
evredhes [ɛv’rɛðɛs]
etholi [ɛ’θɔli]
etholores [ˌɛθɔ’lɔrɛs]
evy [ə’vɪ:]
ethves [‘ɛθfɛs]
eur [ø:r]
ewinrew [ɛ’wɪnrɛʊ]
ewinrewys [ˌɛwɪn’rɛwɪs]
ewl [ɛʊl]
eurdal [‘œrdal]
ewn [ɛʊn]
Europa [œ’rɔpa]
ewna [‘ɛʊna]
European [ˌœrɔ’pɛ:an]
ewnans [‘ɛʊnans]
Europeanes [œˌrɔpɛ’anɛs]
ewnder [‘ɛʊndɛr]
europek [œ’rɔpɛk]
ewngryjyk [ɛʊn’grɪʤɪk]
Eurosenedh [ˌœrɔ’sɛnɛð]
ewnhe [ˌɛʊn’hɛ:]
ewnheans [ɛʊn’hɛ:ans]
euryador [œr’jadɔr]
ewnhynsek [ɛʊn’hɪnzɛk]
euryor [‘œrjɔr]
ewnhynseth [ɛʊn’hɪnzɛθ]
eus [ø:z]
ewnran [‘ɛʊnran]
euth [ø:θ]
ewnranna [ɛʊn’ran:a]
ewnter [‘ɛʊntɛr]
euthega [œ’θɛga]
ewon [‘ɛwɔn]
euthekter [œ’θɛktɛr]
euthvil [‘œθfɪl]
ewonek [ɛ’wɔnɛk]
ewoni [ɛ’wɔni]
euthyk [‘œθɪk]
eyl [ɛɪl]
falsvowes [falz’vɔwɛs]
eyla [‘ɛɪla]
eyles [‘ɛɪlɛs]
falswas [‘falzwas]
eylgelghya [ɛɪl’gɛlxja]
famya [‘fa:mja]
eylgelghyans [ɛɪl’gɛlxjans]
fanci [‘fansi]
fangla [‘faŋgla]
fantasi [‘fantazi]
fantasiek [fan’tasjɛk]
fanya [‘fanja]
eylskrif [‘ɛɪlskrɪf]
fara [‘fa:ra]
eylskrifa [ɛɪl’skrifa]
eylya [‘ɛɪlja]
fardel [‘fardɛl]
Eynda [‘ɛɪnda]
Eyndek [‘ɛɪndɛk]
fardella [far’dɛl:a]
fardellik [far’dɛl:ɪk]
eyndek [‘ɛɪndɛk]
fardellow [far’dɛl:ɔʊ]
Eyndoges [ɛɪn’dɔgɛs]
Faro [‘fa:rɔ]
eyrin [‘ɛɪrɪn]
farwell [ˌfaˑr’wɛl:]
eythin [‘ɛɪθɪn]
faborden [fa’bɔrdɛn]
farya [‘farja]
fas [fa:s]
fagel [‘fagɛl]
faskor [‘faskɔr]
faskores [fas’kɔrɛs]
fast [fa:st]
fagla [‘fagla]
faster [‘fastɛr]
faglen [‘faglɛn]
fasthe [ˌfast’hɛ:]
fastheans [ˌfast’hɛ:ans]
fakt [fakt]
faktor [‘faktɔr]
fastya [‘fastja]
faladow [fa’ladɔʊ]
fastyans [‘fastjans]
falghun [‘falhʏn]
fall [fal:]
fals [falz]
fatla [‘fatla]
fav [fa:v]
falsgober [falz’gɔbɛr]
favera [fa’vɛra]
falsgobra [falz’gɔbra]
faverus [fa’vɛrʏs]
falsuri [fal’zʏri]
favour [‘favʊr]
faw [faˑʊ]
faynt [faɪnt]
fayntys [‘faɪntɪs]
fesont [‘fɛzɔnt]
fest [fɛ:st]
fesya [‘fɛzja]
feth [fɛ:θ]
federal [‘fɛdɛral]
fetha [‘fɛθa]
fethans [‘fɛθans]
fekla [‘fɛkla]
fether [‘fɛθɛr]
feklans [‘fɛklans]
fekler [‘fɛklɛr]
fethesik [fɛ’θɛzɪk]
feklores [fɛ’klɔrɛs]
fethores [fɛ’θɔrɛs]
fekyl [‘fɛkɪl]
fethus [‘fɛθʏs]
fethyel [‘fɛθjɛl]
fel [fɛ:l]
feus [fø:z]
felgh [‘fɛlx]
feusik [‘fœzɪk]
felghya [‘fɛlxja]
fevyr [‘fɛ:vɪr]
felhel [‘fɛlhɛl]
fell [fɛl:]
fewdal [‘fɛʊdal]
fella [‘fɛl:a]
feyth [fɛɪθ]
fi [fi:]
felon [‘fɛlɔn]
felshyp [‘fɛlʃɪp]
fencya [‘fɛnsja]
fiadow [fi’adɔʊ]
fians [‘fi:ans]
fienasow [ˌfiɛ’nazɔʊ]
fenestrek [fɛ’nɛstrɛk]
figur [fɪ’gy:r]
fenil [‘fɛnɪl]
figura [fi’gy:ra]
fenna [‘fɛn:a]
figys [‘fɪgɪs]
fenogel [fɛ’nɔgɛl]
figysen [fɪ’gɪzɛn]
fenten [‘fɛntɛn]
filosofek [ˌfɪlɔ’zɔfɛk]
fer [fɛ:r]
ferla [‘fɛrla]
filosofer [fɪ’lɔzɔfɛr]
ferror [‘fɛr:ɔr]
fers [fɛrs]
filosofieth [fɪˌlɔzɔ’fi:ɛθ]
feryl [‘fɛrɪl]
feryles [fɛ’rɪlɛs]
filosofores [fɪˌlɔzɔ’fɔrɛs]
ferylva [fɛ’rɪlva]
florennik [flɔ’rɛn:ɪk]
finder [‘fɪndɛr]
floryshya [flɔ’rɪʃja]
flosh [flɔ:ʃ]
findhyskys [fɪn’ðɪskɪs]
floshya [‘flɔʃja]
finek [‘finɛk]
flou [flu:]
finel [‘finɛl]
finsya [‘fɪnsja]
finweth [‘fɪnwɛθ]
flownen [‘flɔʊnɛn]
finwetha [fɪn’wɛθa]
flows [flɔʊz]
fion [‘fi:ɔn]
flyckra [‘flɪkra]
fisegel [fɪ’zɛgɛl]
flyckrans [‘flɪkrans]
fisten [‘fɪstɛn]
fistena [fɪs’tɛna]
flynt [flɪnt]
flyrtya [‘flɪrtja]
flamek [‘flamɛk]
foesiges [ˌfɔˑɛ’zigɛs]
flamm [flam:]
foesik [fɔ’ɛzɪk]
flappya [‘flapja]
flattra [‘flatra]
fog [fɔ:g]
fleghik [‘flɛhɪk]
fogella [fɔ’gɛl:a]
fogellys [fɔ’gɛl:ɪs]
fol [fɔ:l]
fler [flɛ:r]
flerya [‘flɛrja]
flerys [‘flɛrɪs]
flock [flɔk]
folen [‘fɔlɛn]
flogh [flɔ:x]
folenep [fɔl’ɛnɛp]
folennik [fɔ’lɛn:ɪk]
foli [‘fɔli]
floghel [‘flɔhɛl]
floghgovia [ˌflɔxgɔ’vi:a]
floghgovier [ˌflɔxgɔ’vi:ɛr]
floghgoviores [flɔxˌgɔvi’ɔrɛs]
folji [‘fɔlʤi]
folneth [‘fɔlnɛθ]
floghva [‘flɔxva]
fols [fɔls]
folsa [‘fɔlza]
floren [‘flɔrɛn]
folsans [‘folzans]
fon [fɔ:n]
forsakya [fɔr’sa:kja]
fondacyon [fɔn’dasjɔn]
forsedh [‘fɔrsɛð]
fondya [‘fɔndja]
forster [‘fɔrstɛr]
fondyans [‘fɔndjans]
forstores [fɔrs’tɔrɛs]
fonya [‘fɔ:nja]
foon [fo:n]
fortun [‘fɔrtʏn]
fortunnyes [fɔ’rtʏn:jɛs]
fos [fɔ:z]
fosforos [‘fɔsfɔrɔs]
foul [fu:l]
fouton [‘fu:tɔn]
fow [fɔˑʊ]
fowt [fɔʊt]
fordh [fɔrð]
fram [fra:m]
framya [‘fra:mja]
frank [fraŋk]
frankedh [‘fraŋkɛð]
franklondya [fraŋk’lɔndja]
frankres [‘fraŋkrɛs]
fordhlet [‘fɔrðlɛt]
forgh [fɔrx]
frappya [‘frapja]
forlell [‘fɔrlɛl]
frappyans [‘frapjans]
forlya [‘fɔrlja]
frappyansek [frap’jansɛk]
fraws [fraʊz]
frawsus [‘fraʊzʏs]
formel [‘fɔrmɛl]
formya [‘fɔrmja]
formyer [‘fɔrmjɛr]
forn [fɔrn]
fors [fɔrs]
fres [frɛ:z]
fresk [frɛ:sk]
Frynkes [‘frɪŋkɛs]
freth [frɛ:θ]
fug [fy:g]
frethter [‘frɛθtɛr]
freudh [frø:ð]
fugieth [fʏ’gi:ɛθ]
fugya [‘fʏgja]
freudhek [‘frœðɛk]
fugyans [‘fʏgjans]
frig [fri:g]
fumado [fʏ’ma:dɔ]
frigow [‘frigɔʊ]
fun [fy:n]
fur [fy:r]
frikhwetha [frɪk’ʍɛθa]
furneth [‘fʏrnɛθ]
frikhwyth [‘frɪkʍɪθ]
furv [fʏrv]
furvas [‘fʏrvas]
friys [‘fri:ɪs]
furvya [‘fʏrvja]
furvyer [‘fʏrvjɛr]
furvyores [fʏrv’jɔrɛs]
fusen [‘fʏzɛn]
fust [fy:st]
frommus [‘frɔm:ʏs]
fusta [‘fʏsta]
fronn [frɔn:]
fydh [fɪ:ð]
fronna [‘frɔn:a]
fydhya [‘fɪðja]
fronnans [‘frɔn:ans]
fydhyans [‘fɪðjans]
fyll [fɪl:]
frooth [fro:θ]
fyllel [‘fɪl:ɛl]
fros [frɔ:z]
fylm [fɪlm]
frosa [‘frɔza]
frothus [‘frɤθʏs]
fylmya [‘fɪlmja]
frut [fry:t]
Fynn [fɪn:]
Frynk [frɪŋk]
Fynndir [‘fɪndɪr]
Fynnek [‘fɪn:ɛk]
Frynkek [‘frɪŋkɛk]
fynnek [‘fɪn:ɛk]
Fynnes [‘fɪn:ɛs]
frynkek [‘frɪŋkɛk]
fyrv [fɪrv]
fysegieth [ˌfɪzɛ’gi:ɛθ]
galweythel [gal’wɛɪθɛl]
fysek [‘fɪzɛk]
galwydh [‘galwɪð]
fysk [fɪ:sk]
gam [ga:m]
fyski [‘fɪski]
gan [gɐn]
fyslek [‘fɪzlɛk]
ganow [‘ganɔʊ]
fysycyen [fɪ’zɪsjɛn]
ganowas [ga’nɔwas]
fyt [fɪt]
fyttya [‘fɪtja]
ganowek [ga’nɔwɛk]
gaja [‘gaʤa]
gal [ga:l]
gans [gans]
galadewder [ˌgala’dɛʊdɛr]
galadow [ga’ladɔʊ]
galar [‘galar]
galarek [ga’larɛk]
galari [ga’lari]
galarow [ga’larɔʊ]
gallon [‘gal:ɔn]
gallos [‘gal:ɤs]
garan [‘garan]
garen [‘garɛn]
galosedh [ga’lɤzɛð]
garlont [‘garlɔnt]
garm [garm]
galosegi [ˌgalɤ’zɛgi]
galosek [ga’lɤzɛk]
galow [‘galɔʊ]
garma [‘garma]
garnisyon [gar’nɪzjɔn]
galwansek [gal’wanzɛk]
garow [‘garɔʊ]
galwen [‘galwɛn]
garowder [ga’rɔʊdɛr]
galwesigeth [ˌgalwɛ’zɪgɛθ]
garr [gar:]
garren [‘gar:ɛn]
galwesik [gal’wɛzɪk]
galweyth [‘galwɛɪθ]
garth [garθ]
gas [ga:s]
genn [gɛn:]
gas [gaz]
genna [‘gɛnna]
gasa [‘gaza]
Genver [‘gɛnvɛr]
genys [‘gɛnɪs]
ger [gɛ:r]
gasadow [ga’zadɔʊ]
gast [ga:st]
gava [‘gava]
gerda [ˌgɛˑr’da:]
gavel [‘gavɛl]
gerdhelni [gɛr’ðɛlni]
gerenogeth [ˌgɛrɛ’nɔgɛθ]
gavelieth [ˌgavɛ’li:ɛθ]
gerhdal [‘gɛrðal]
gaver [‘gavɛr]
gerva [‘gɛrva]
gerya [‘gɛrja]
gelforn [‘gɛlfɔrn]
geryel [‘gɛrjɛl]
gell [gɛl:]
gelvin [‘gɛlvɪn]
gerys-da [ˌgɛrɪs’ta:]
gelvinek [gɛl’vɪnɛk]
ges [gɛ:z]
gelwel [‘gɛlwɛl]
gemm [gɛm:]
gesedh [‘gɛzɛð]
gemweyth [‘gɛmwɛɪθ]
gesya [‘gɛzja]
gen [gɛ:n]
gesyer [‘gɛzjɛr]
gesyores [gɛz’jɔrɛs]
gesys [‘gɛzɪs]
getto [‘gɛtɔ]
gevel [‘gɛvɛl]
geveligow [ˌgɛvɛ’lɪgɔʊ]
gevelji [gɛ’vɛlʤi]
gevell [‘gɛvɛl]
genesiges [ˌgɛnɛ’zɪgɛs]
gevelles [gɛ’vɛl:ɛs]
genesigeth [ˌgɛnɛ’zɪgɛθ]
gevelya [gɛ’vɛlja]
gevyans [‘gɛvjans]
genesik [gɛ’nɛzɪk]
gew [gɛˑʊ]
gid [gi:d]
glebya [‘glɛbja]
glena [‘glɛna]
gidya [‘gi:dja]
glenus [‘glɛnʏs]
gigabayt [‘gɪgabaɪt]
glenysen [glɛ’nɪzɛn]
gik [gi:k]
glesin [‘glɛzɪn]
gil [gi:l]
glew [glɛˑʊ]
gis [gi:z]
glewder [‘glɛʊdɛr]
glin [gli:n]
gitar [gɪ’ta:r]
gloos [glo:z]
glori [‘glɔri]
gloryus [‘glɔrjʏs]
glow [glɔˑʊ]
glan [gla:n]
glowor [‘glɔwɔr]
glowva [‘glɔʊva]
glanhe [ˌglan’hɛ:]
glus [gly:z]
glann [glan:]
glusa [‘glʏza]
glusek [‘glʏzɛk]
glanyth [‘glanɪθ]
gluth [gly:θ]
glas [gla:z]
gluthvelhwen [glʏθ’fɛlʍɛn]
glasik [‘glazɪk]
glasneth [‘glaznɛθ]
glybor [‘glɪbɔr]
glasrudh [‘glazrʏð]
glaveri [gla’vɛri]
glavor [‘glavɔr]
glynn [glɪn:]
glaw [glaˑʊ]
gnas [gna:z]
glawas [‘glawas]
glawek [‘glawɛk]
gnasek [‘gnazɛk]
glawen [‘glawɛn]
gnasen [‘gnazɛn]
glawlen [‘glaʊlɛn]
go [gɔ:]
gobalas [gɔ’balas]
gleb [glɛ:b]
gobans [‘gɔbans]
godhevyans [gɔ’ðɛvjans]
gober [‘gɔbɛr]
godhevyas [gɔ’ðɛvjas]
godhik [‘gɤðɪk]
godhoniador [gɔˌðɔni’adɔr]
godhonieth [ˌgɔðɔ’ni:ɛθ]
godhoniethek [gɔˌðɔni’ɛθɛk]
gobra [‘gɔbra]
godhonydh [gɔ’ðɔnɪð]
gobrena [gɔ’brɛna]
gobrener [gɔ’brɛnɛr]
godhonydhes [ˌgɔðɔ’nɪðɛs]
gobrenores [ˌgɔbrɛ’nɔrɛs]
dhor [gɔ’ðɔ:r]
godhosek [gɔ’ðɔzɛk]
gocki [‘gɔki]
godhvedhys [gɔð’vɛðɪs]
gockineth [gɔ’kɪnɛθ]
godhvil [‘gɔθfɪl]
godhvos [‘gɔθfɔs]
goderri [gɔ’dɛr:i]
godevesik [ˌgɔdɛ’vɛzɪk]
godh [gɔ:ð]
Godhal [‘gɤðal]
godhynya [gɔ’ðɪnja]
Godhalek [gɤ’ðalɛk]
godhalek [gɤ’ðalɛk]
Godhales [gɤ’ðalɛs]
godom [‘gɔdɔm]
godor [‘gɔdɔr]
godhan [‘gɤðan]
godhav [‘gɔðav]
godra [‘gɔdra]
godhen [‘gɔðɛn]
godhes [‘gɔðɛs]
godramm [gɔ’dram:]
godhevek [gɔ’ðɛvɛk]
godrehi [gɔ’drɛhi]
godrek [‘gɔdrɛk]
godhevel [gɔ’ðɛvɛl]
godrev [‘gɔdrɛv]
godhevus [gɔ’ðɛvʏs]
godreva [gɔ’drɛva]
godhevyades [ˌgɔðɛv’jadɛs]
golan [‘go:lan]
golans [gɔ’lans]
godriga [gɔ’drɪga]
goleder [gɔ’lɛdɛr]
godriger [gɔ’drɪgɛr]
golegi [gɔ’lɛgi]
godrigores [ˌgɔdrɪ’gɔrɛs]
goles [‘gɤlɛs]
godrik [‘gɔdrɪk]
golesen [gɔ’lɛzɛn]
godros [‘gɔdrɔs]
golewder [gɔ’lɛʊdɛr]
godrosus [gɔ’drɔzʏs]
godybi [gɔ’dɪbi]
golf [gɔlf]
godybieth [ˌgɔdɪ’bi:ɛθ]
golgh [gɔlx]
golghas [‘gɔlhas]
golghi [‘gɔlhi]
golghlin [‘gɔlxlɪn]
golghti [‘gɔlxti]
golghva [‘gɔlxva]
golgi [‘gɤlgi]
goli [‘gɔli]
gogosk [‘gɔgɔsk]
golia [gɔ’li:a]
gogow [‘gɔgɔʊ]
goliesiges [gɔˌliɛ’zɪgɛs]
gogrys [‘gɔgrɪs]
gogrysek [gɔ’grɪzɛk]
goliesik [ˌgɔli’ɛzɪk]
golinyans [gɔ’lɪnjans]
gogrysi [gɔ’grɪzi]
gologhas [gɔ’lɔhas]
gogrysoges [ˌgɔgrɪ’zɔgɛs]
gologva [gɔ’lɔgva]
gogrysus [gɔ’grɪzʏs]
golok [‘gɔlɔk]
gohasa [gɔ’haza]
goheles [gɔ’hɛlɛs]
golokwedrow [ˌgɔlɔk’wɛdrɔʊ]
gohelus [gɔ’hɛlʏz]
golow [‘gɔlɔʊ]
gohi [‘gɔhi]
gohydh [‘gɔhɪð]
goi [‘gɔ:i]
Golowan [gɔ’lɔwan]
golowboyntya [ˌgɔlɔʊ’bɔɪntja]
golowbren [gɔ’lɔʊbrɛn]
gol [gɔ:l]
golowhe [ˌgɔlɔw’hɛ:]
gonner [‘gɤn:ɛr]
golowi [gɔ’lɔwi]
gonores [gɔ’nɔrɛs]
golowji [gɔ’lɔʊʤi]
goodh [go:ð]
golowyans [gɔ’lɔʊjans]
golowyn [gɔ’lɔwɪn]
goon [go:n]
golowys [gɔ’lɔwɪs]
gols [gɔlz]
goos [go:z]
golusek [gɔ’lʏzɛk]
golusoges [ˌgɔlʏ’zɔgɛs]
gor- [gɔr-]
gora [‘gɤra]
golvan [‘gɔlvan]
gorambos [gɔr’ambɔs]
gorawen [gɔr’awɛn]
gorawena [ˌgɔra’wɛna]
golyer [‘gɤljɛr]
gorawenus [ˌgɔra’wɛnʏs]
golyores [gɤl’jɔrɛs]
gorbassya [gɔr’basja]
gorbeski [gɔr’bɛski]
gommon [‘gɤm:ɔn]
gorbollek [gɔr’bɤl:ɛk]
gorcita [gɔr’sɪta]
gordermyn [gɔr’dɛrmɪn]
gomonna [gɤ’mɔn:a]
gordhya [‘gɔrðja]
gonis [‘gɔnɪs]
gordhyans [‘gɔrðjans]
gordhyllo [gɔr’ðɪl:ɔ]
gonisek [gɔ’nizɛk]
gonisoges [ˌgɔnɪ’zɔgɛs]
gonisogeth [ˌgɔnɪ’zɔgɛθ]
gorer [‘gɔrɛr]
goresek [gɔ’rɛzɛk]
gonisogethel [gɔˌnɪzɔ’gɛθɛl]
goreser [gɔ’rɛzɛr]
gonn [gɤn:]
goresores [ˌgɔrɛ’zɔrɛs]
gorewnter [gɔr’ɛʊntɛr]
gorlanwes [gɔr’lanwɛs]
gorlanwesek [ˌgɔrlan’wɛsɛk]
gorfen [‘gɔrfɛn]
gorleski [gɔr’lɛski]
gorfenna [gɔr’fɛn:a]
gorlewin [gɔr’lɛwɪn]
gorfordh [‘gɔrfɔrð]
gorliwa [gɔr’liwa]
gorliwans [gɔr’liwans]
gorfydhyans [gɔr’fɪðjans]
gorlosk [‘gɔrlɔsk]
gorfydhyansek [ˌgɔrfɪð’janzɛk]
gorloskell [gɔr’lɔskɛl]
gorge [‘gɔrgɛ]
gorlost [‘gɔrlɔst]
gorgemerys [ˌgɔrgɛ’mɛrɪs]
gorm [gɔrm]
gorgevren [gɔr’gɛvrɛn]
gormel [‘gɔrmɛl]
gormesi [gɔr’mɛzi]
gorgi [‘gɔrgi]
gormesyer [gɔr’mɛzjɛr]
gorgudha [gɔr’gʏða]
gorgudhans [gɔr’gʏðans]
gormesyores [ˌgɔrmɛz’jɔrɛs]
gorharga [gɔr’harga]
gormola [gɔr’mɔla]
gornaturel [ˌgɔrna’tʏrɛl]
gorodhom [gɔ’rɔðɐm]
gorour [‘gɔrur]
goroures [gɔ’ru:rɛs]
gorhelas [gɔr’hɛlas]
gorow [‘gɔrɔʊ]
gorhemmyn [gɔr’hɛm:ɪn]
gorra [‘gɔr:a]
gorhemynadow [gɔrˌhɛmɪ’nadɔʊ]
gorhemynek [ˌgɔrhɛ’mɪnɛk]
gorher [‘gɔrhɛr]
gorrans [‘gɔr:ans]
gorheri [gɔr’hɛri]
gorholeth [gɔr’hɔlɛθ]
gorreydh [‘gɔr:ɛɪð]
gorsav [‘gɔrsav]
gorilla [gɔ’rɪl:a]
gorsedh [‘gɔrsɛð]
gorladhva [gɔr’laðva]
gorvodrep [gɔr’vɔdrɛp]
gorth [gɔrθ]
gorvok [‘gɔrvɔk]
gorth- [gɔrθ-]
gorthargyadow [ˌgɔrθarg’jadɔʊ]
gorvryjyon [gɔr’vrɪʤjɔn]
gorthargyans [gɔrθ’argjans]
gorvynnek [gɔr’vɪn:ɛk]
gorthebi [gɔr’θɛbi]
gorwedha [gɔr’wɛða]
gorwedhva [gɔr’wɛðva]
gorthebus [gɔr’θɛbʏs]
gortheneba [ˌgɔrθɛ’nɛba]
gorwel [‘gɔrwɛl]
gorthenep [gɔrθ’ɛnɛp]
gorweles [gɔr’wɛlɛs]
Gortheren [gɔr’θɛrɛn]
gorwelyek [gɔr’wɛljɛk]
gorthpryv [‘gɔrθprɪv]
gorwir [‘gɔrwɪr]
gorwitha [gɔr’wiθa]
gorthter [‘gɔrθtɛr]
gorwiw [‘gɔrwɪʊ]
gorthtreylya [gɔrθ’trɛɪlja]
gorwolok [gɔr’wɔlɔk]
gorthtro [‘gɔrθtrɔ]
gorwolyades [ˌgɔrwɤl’jadɛs]
gorthugher [gɔr’θʏhɛr]
gorwolyas [gɔr’wɤljas]
gorthugherweyth [ˌgɔrθʏ’hɛrwɛɪθ]
gorwul [‘gɔrwʏl]
gorthwedh [‘gɔrθwɛð]
gosa [‘gɤza]
gosek [‘gɤzɛk]
gorthyp [‘gɔrθɪp]
goskes [‘gɔskɛs]
gortos [‘gɔrtɔs]
goskeusi [gɔ’skœzi]
goskotter [gɔ’skɔtɛr]
goslowes [gɔ’zlɔwɛs]
gortosva [gɔr’tɔzva]
goslowva [gɔs’lɔʊva]
gorughel [gɔr’ʏhɛl]
goslowyades [ˌgɔzlɔʊ’jadɛs]
gorvarhas [gɔr’varhas]
goslowyas [gɔ’zlɔʊjas]
gorvegh [‘gɔrvɛx]
gosogen [gɤ’zɔgɛn]
gorveghya [gɔr’vɛxja]
gossen [‘gɔsɛn]
govynva [gɔ’vɪnva]
gossenek [gɔ’sɛnɛk]
gow [gɔˑʊ]
gosseni [gɔ’sɛni]
gostel [‘gɤstɛl]
gowek [‘gɔwɛk]
gostla [‘gɤstla]
gowl [gɔʊl]
gowlek [‘gɔʊlɛk]
gostydh [‘gɔstɪð]
gowleverel [ˌgɔʊlɛ’vɛrɛl]
gostyth [‘gɔstɪθ]
gostytter [gɔ’stɪtɛr]
gowli [‘gɔʊli]
Gothek [‘gɔθɛk]
gowlia [gɔʊ’li:a]
gothek [‘gɔθɛk]
gownagh [‘gɔʊnax]
gothus [‘gɤθʏs]
gowoges [gɔ’wɔgɛs]
gour [gu:r]
goyeyn [‘gɔjɛɪn]
goyeynder [gɔ’jɛɪndɛr]
gourel [‘gu:rɛl]
goyeynhe [ˌgɔjɛɪn’hɛ:]
gourti [gʊr’ti:]
grabalyas [gra’baljas]
gourvleydh [‘gʊrvlɛɪð]
gradh [gra:ð]
gourvleydhes [gʊr’vlɛɪðɛs]
gradhegi [gra’ðɛgi]
gradhel [‘graðɛl]
gov [gɔ:v]
gradhesiges [ˌgraðɛ’zɪgɛs]
govedhow [gɔ’vɛðɔʊ]
govel [‘gɔvɛl]
gradhesik [gra’ðɛzɪk]
govelya [gɔ’vɛlja]
govenek [gɔ’vɛnɛk]
gradhya [‘graðja]
gradhyans [‘graðjans]
gover [‘gɔvɛr]
grafegel [gra’fɛgɛl]
governa [gɔ’vɛrna]
grafek [‘grafɛk]
graghel [‘grahɛl]
governans [gɔ’vɛrnans]
grajek [‘graʤɛk]
gral [gra:l]
govis [‘gɔvɪs]
gramasek [gra’mazɛk]
govyn [‘gɔvɪn]
gramer [‘gramɛr]
gramm [gram:]
govynador [ˌgɔvɪ’nadɔr]
grappa [‘grapa]
govynadow [ˌgɔvɪ’nadɔʊ]
gras [gra:s]
govynnus [gɔ’vɪn:ʏs]
grasek [‘grazɛk]
grassa [‘grasa]
gris [gri:z]
grassyes [‘grasjɛs]
grastal [‘grastal]
gravath [‘gravaθ]
gromerci [ˌgrɔmɛr’si:]
grommya [‘grɔmˑja]
gravedh [‘gravɛð]
grommyans [‘grɔmˑjans]
gravya [‘gra:vja]
grond [grɔnd]
gravyans [‘gra:vjans]
grondya [‘grɔndja]
gravyer [‘gra:vjɛr]
gronn [grɔn:]
gravyores [grav’jɔrɛs]
gronna [‘grɔn:a]
gronnedh [‘grɔn:ɛð]
Grek [grɛ:k]
gront [grɔ:nt]
grek [grɛ:k]
grontya [‘grɔ:ntja]
grot [grɔ:t]
Greka [‘grɛ:ka]
grow [grɔˑʊ]
Grekes [‘grɛ:kɛs]
growan [‘grɔwan]
Gres [grɛ:s]
growedha [grɔ’wɛða]
greun [grø:n]
growedhva [grɔ’wɛðva]
greunaval [grœn’aval]
grows [grɔʊz]
growsvos [‘grɔʊzvɔs]
greunek [‘grœnɛk]
greunji [‘grœnʤi]
grudh [gry:ð]
grug [gry:g]
greunva [‘grœnva]
grugyar [‘grʏgjar]
greunvos [‘grœnvɔs]
grugys [‘grʏgɪs]
greuv [grø:v]
grev [grɛ:v]
gryll [grɪl:]
grevus [‘grɛvʏs]
grevya [‘grɛ:vja]
gryllya [‘grɪlˑja]
grymm [grɪm:]
grysel [‘grɪzɛl]
grija [‘griʤa]
grysla [‘grɪzla]
gul [gy:l]
gwaneth [‘gwanɛθ]
gwann [gwan:]
gwanna [‘gwan:a]
guw [gyˑʊ]
gwannhanow [gwan’hanɔʊ]
guwa [‘gʏwa]
gwannhe [ˌgwanˑ’hɛ:]
gwannliwek [gwan’lɪwɛk]
gwara [‘gwara]
gwaraji [gwa’raʤi]
gwag [gwa:g]
gwardya [‘gwardja]
gwareger [gwa’rɛgɛr]
gwagen [‘gwagɛn]
gwaregieth [ˌgwarɛ’gi:ɛθ]
gwagla [‘gwagla]
gwaregores [ˌgwarɛ’gɔrɛs]
gwagren [‘gwagrɛn]
gwarek [‘gwarɛk]
gwagva [‘gwagva]
gwari [‘gwari]
gwakhe [ˌgwak’hɛ:]
gwakter [‘gwaktɛr]
gwalgh [gwalx]
gwall [gwal:]
gwaluster [gwa’lʏstɛr]
gwan [gwa:n]
gwana [‘gwana]
gwander [‘gwandɛr]
gwandra [‘gwandra]
gwariell [gwa’ri:ɛl]
gwandrans [‘gwandrans]
gwarier [gwa’ri:ɛr]
gwandryades [gwand’rjadɛs]
gwariji [gwa’rɪʤi]
gwandryas [‘gwandrjas]
gwariores [ˌgwari’ɔrɛs]
gwayans [‘gwajans]
gwariva [gwa’riva]
gwayn [gwaɪn]
gwarnya [‘gwarnja]
gwaynya [‘gwaɪnja]
gwarnyans [‘gwarnjans]
gwaynyer [‘gwaɪnjɛr]
gwarr [gwar:]
gwartha [‘gwarθa]
gwaynyores [gwaɪn’jɔrɛs]
gwarthek [‘gwarθɛk]
gwaytyans [‘gwaɪtjans]
gwarthevya [gwar’θɛvja]
gwaytyas [‘gwaɪtjas]
gwarthevyans [gwar’θɛvjans]
gwarthevyek [gwar’θɛvjɛk]
gwayvya [‘gwaɪvja]
gwas [gwa:z]
gweder [‘gwɛdɛr]
